Location,State,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year
Milwaukee, Wisconsin,5,0,5,Workplace,51,Unknown,Unknown,semiautomatic handgun,Black,M,43.044511,-87.962537,Mass,2020
Jersey City, New Jersey,4,3,7,Other,Unknown,Unknown,Unknown,unknown,Black,Unknown,40.707363,-74.083609,Spree,2019
Pensacola, Florida,3,8,11,Military,Unknown,Unknown,Unknown,semiautomatic handgun,Unknown,M,30.364707,-87.288567,Mass,2019
Odessa, Texas,7,25,32,Other,36,yes,Unknown,semiautomatic rifle,White,M,31.925974,-102.2796,Spree,2019
Dayton, Ohio,9,27,36,Other,24,Unknown,Yes,semiautomatic rifle,White,M,39.757312,-84.184947,Mass,2019
El Paso, Texas,22,26,48,Workplace,21,Unknown,Yes,semiautomatic rifle,White,M,31.771068,-106.375655,Mass,2019
Gilroy, California,3,12,15,Other,19,Unknown,Yes,semiautomatic rifle,Unknown,M,36.997191,-121.584819,Mass,2019
Virginia Beach, Virginia,12,4,16,Workplace,40,Unknown,Yes,handgun,Black,M,36.75442,-76.060378,Mass,2019
Aurora, Illinois,5,6,11,Workplace,45,Yes,No,handgun,Black,M,41.753725,-88.331057,Mass,2019
State College, Pennsylvania,3,1,4,Other,21,Unknown,Yes,handgun,White,M,40.785142,-77.839411,Spree,2019
Sebring, Florida,5,0,5,Workplace,21,Yes,Yes,handgun,White,M,27.471043,-81.45847,Mass,2019
Chicago, Illinois,3,0,3,Workplace,32,Unknown,Unknown,semiautomatic handgun,Latino,M,41.847667,-87.622009,Mass,2018
Thousand Oaks, California,12,22,34,Other,28,Yes,Yes,semiautomatic handgun,Unknown,M,34.176946,-118.874793,Mass,2018
Pittsburgh, Pennsylvania,11,6,17,Religious,46,Unknown,Yes,multiple,White,M,40.443898,-79.921398,Mass,2018
Perryman, Maryland,3,3,6,Workplace,26,Unknown,Yes,semiautomatic handgun,Black,F,39.455658,-76.208485,Mass,2018
Bakersfield, California,5,0,5,Workplace,54,Unknown,Yes,handgun,Latino,M,35.349388,-118.916335,Spree,2018
Cincinnati, Ohio,3,2,5,Workplace,29,Yes,Yes,semiautomatic handgun,Latino,M,39.101981,-84.511782,Mass,2018
Annapolis, Maryland,5,2,7,Workplace,38,Unknown,Yes,shotgun,White,M,38.994548,-76.543657,Mass,2018
Santa Fe, Texas,10,13,23,School,17,Unknown,TBD,multiple,White,M,29.392825,-95.141972,Mass,2018
Nashville, Tennessee,4,4,8,Other,29,Yes,Yes,semiautomatic rifle,White,M,36.052521,-86.616944,Mass,2018
Yountville, California,3,0,3,Workplace,36,Yes,Yes,multiple,Asian,M,38.392496,-122.366528,Mass,2018
