Location,State,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,type,year
Milwaukee, Wisconsin,5,0,5,Workplace,51,Unknown,Unknown,semiautomatic handgun,Black,M,Mass,2020
Jersey City, New Jersey,4,3,7,Other,Unknown,Unknown,Unknown,unknown,Black,Unknown,Spree,2019
Pensacola, Florida,3,8,11,Military,Unknown,Unknown,Unknown,semiautomatic handgun,Unknown,M,Mass,2019
Odessa, Texas,7,25,32,Other,36,yes,Unknown,semiautomatic rifle,White,M,Spree,2019
Dayton, Ohio,9,27,36,Other,24,Unknown,Yes,semiautomatic rifle,White,M,Mass,2019
El Paso, Texas,22,26,48,Workplace,21,Unknown,Yes,semiautomatic rifle,White,M,Mass,2019
Gilroy, California,3,12,15,Other,19,Unknown,Yes,semiautomatic rifle,Unknown,M,Mass,2019
Virginia Beach, Virginia,12,4,16,Workplace,40,Unknown,Yes,handgun,Black,M,Mass,2019
Aurora, Illinois,5,6,11,Workplace,45,Yes,No,handgun,Black,M,Mass,2019
State College, Pennsylvania,3,1,4,Other,21,Unknown,Yes,handgun,White,M,Spree,2019
Sebring, Florida,5,0,5,Workplace,21,Yes,Yes,handgun,White,M,Mass,2019
Chicago, Illinois,3,0,3,Workplace,32,Unknown,Unknown,semiautomatic handgun,Latino,M,Mass,2018
Thousand Oaks, California,12,22,34,Other,28,Yes,Yes,semiautomatic handgun,Unknown,M,Mass,2018
Pittsburgh, Pennsylvania,11,6,17,Religious,46,Unknown,Yes,multiple,White,M,Mass,2018
Perryman, Maryland,3,3,6,Workplace,26,Unknown,Yes,semiautomatic handgun,Black,F,Mass,2018
Bakersfield, California,5,0,5,Workplace,54,Unknown,Yes,handgun,Latino,M,Spree,2018
Cincinnati, Ohio,3,2,5,Workplace,29,Yes,Yes,semiautomatic handgun,Latino,M,Mass,2018
Annapolis, Maryland,5,2,7,Workplace,38,Unknown,Yes,shotgun,White,M,Mass,2018
Santa Fe, Texas,10,13,23,School,17,Unknown,TBD,multiple,White,M,Mass,2018
Nashville, Tennessee,4,4,8,Other,29,Yes,Yes,semiautomatic rifle,White,M,Mass,2018
Yountville, California,3,0,3,Workplace,36,Yes,Yes,multiple,Asian,M,Mass,2018
Parkland, Florida,17,17,34,School,19,Yes,Yes,semiautomatic rifle,White,M,Mass,2018
Melcroft, Pennsylvania,4,1,5,Other,28,Unknown,TBD,multiple,White,M,Mass,2018
Rancho Tehama, California,5,10,15,Other,44,Unknown,No,semiautomatic rifles,White,M,Spree,2017
Sutherland Springs, Texas,26,20,46,Religious,26,Yes,Unknown,semiautomatic rifle,White,M,Mass,2017
Thornton, Colorado,3,0,3,Other,47,Unclear,TBD,semiautomatic handgun,White,M,Mass,2017
Edgewood, Maryland,3,3,6,Workplace,37,Unclear,No,handgun,Black,M,Mass,2017
Las Vegas, Nevada,58,546,604,Other,64,Unknown,Yes,multiple,White,M,Mass,2017
San Francisco, California,3,2,5,Workplace,38,Yes,No,multiple,Asian,M,Mass,2017
Tunkhannock, Pennsylvania,3,0,3,Workplace,24,Unclear,TBD,shotgun,White,M,Mass,2017
Orlando, Florida,5,0,5,Workplace,45,Unclear,TBD,semiautomatic handgun,Unknown,M,Mass,2017
Kirkersville, Ohio,3,0,3,Workplace,43,Yes,TBD,multiple,White,M,Mass,2017
Fresno, California,3,0,3,Other,39,Unclear,Unknown,handgun,Black,M,Mass,2017
Fort Lauderdale, Florida,5,6,11,Airport,26,Yes,Yes,semiautomatic rifle,Latino,M,Mass,2017
Burlington, Washington,5,0,5,Other,20,Yes,TBD,semiautomatic rifle,Unknown,M,Mass,2016
Baton Rouge, Lousiana,3,3,6,Other,29,Yes,Unknown,multiple,Black,M,Spree,2016
Dallas, Texas,5,11,16,Other,25,Unclear,Yes,multiple,Black,M,Mass,2016
Orlando, Florida,49,53,102,Other,29,Unclear,Yes,multiple,Other,M,Mass,2016
Hesston, Kansas,3,14,17,Workplace,38,Unclear,Yes,multiple,Black,M,Mass,2016
Kalamazoo County, Michigan,6,2,8,Other,45,Unclear,Yes,Semiautomatic handgun,White,M,Mass,2016
San Bernardino, California,14,21,35,"
Workplace",28,Unclear,"
Yes",multiple,Other,M+F,Mass,2015
Colorado Springs, Colorado,3,9,12,Workplace,57,Unclear,Unknown,shotgun,White,M,Mass,2015
Colorado Springs, Colorado,3,0,3,Other,33,Unclear,Yes,multiple,White ,M,Mass,2015
Roseburg, Oregon,9,9,18,School,26,Unclear,Yes,multiple,Other,M,Mass,2015
Chattanooga, Tennessee,5,2,7,Military,24,Unclear,Yes,"multiple
",Other,M,Mass,2015
Charleston, South Carolina,9,1,10,Religious,21,Unclear,Yes,"handgun
",White,M,Mass,2015
Menasha, Wisconsin,3,1,4,Other,27,Yes,Yes,"multiple
",Latino,M,Mass,2015
Marysville, Washington,5,1,6,School,15,Unclear,No,"handgun
",Native American,M,Mass,2014
Santa Barbara, California,6,13,19,School,22,Yes,Yes,multiple,White,M,Mass,2014
Fort Hood, Texas,3,12,15,Military,34,Unclear,"
Yes","handgun
",Latino,M,Mass,2014
Alturas, California,4,2,6,Other,44,Unknown,Unknown,multiple,Native American,F,Spree,2014
Washington, D.C.,12,8,20,Military,34,Yes,Yes,multiple,Black,M,Mass,2013
Hialeah, Florida,7,0,7,"Other
",42,Unclear,Yes,Semiautomatic handgun,Latino,M,Mass,2013
Santa Monica, California,6,3,9,"Other
",23,Yes,Yes ,multiple,White,M,Mass,2013
Federal Way, Washington,5,0,5,"Other
",27,No,Yes,multiple,Black,M,Mass,2013
Herkimer County, New York,5,2,7,Other,64,No,Yes,shotgun,White,M,Mass,2013
Newtown, Connecticut,27,2,29,School,20,Yes,No,multiple,white,M,Mass,2012
Minneapolis, Minnesota,7,1,8,Workplace,36,Yes,Yes,semiautomatic handgun,white,M,Mass,2012
Oak Creek, Wisconsin,7,3,10,Religious,40,Yes,Yes,semiautomatic handgun,white,M,Mass,2012
Aurora, Colorado,12,70,82,Other,24,Yes,Yes,multiple,white,M,Spree,2012
Seattle, Washington,6,1,7,Other,40,Yes,Yes,semiautomatic handgun,white,M,Mass,2012
Oakland, California,7,3,10,School,43,Yes,Yes,semiautomatic handgun,Asian,M,Mass,2012
Norcross, Georgia,5,0,5,Other,59,Yes,Yes,semiautomatic handgun,Asian,M,Mass,2012
Seal Beach, California,8,1,9,Other,42,Yes,Yes,multiple,white,M,Mass,2011
Carson City, Nevada,5,7,12,Other,32,Yes,Yes,multiple,Latino,M,Mass,2011
Tucson, Arizona,6,13,19,Other,22,Yes,Yes,semiautomatic handgun,white,M,Mass,2011
Manchester, Connecticut,9,2,11,Workplace,34,No,Yes,semiautomatic handgun,black,M,Mass,2010
Parkland, Washington,4,1,5,Other,37,Yes,No,semiautomatic handgun,black,M,Mass,2009
Fort Hood, Texas,13,31,44,Military,39,Unclear,Yes,semiautomatic handgun,Other,M,Mass,2009
Binghamton, New York,14,4,18,Other,41,Yes,Yes,semiautomatic handgun,Asian,M,Mass,2009
Carthage, North Carolina,8,3,11,Other,45,Yes,Yes,multiple,white,M,Mass,2009
Henderson, Kentucky,6,1,7,Workplace,25,No,Yes,semiautomatic handgun,white,M,Spree,2008
